rowid;fpl_hostname;fpl_letter;fpl_name;fpl_discmethod;fpl_controvflag;fpl_disc;fpl_orbper;fpl_smax;fpl_eccen;fpl_bmasse;fpl_bmassj;fpl_bmassprov;fpl_rade;fpl_radj;fpl_rads;fpl_dens;fpl_eqt;fpl_insol;fpl_tranflag;fpl_cbflag;fpl_snum;ra_str;ra;dec_str;dec;fst_dist;fst_optmag;fst_optmagband;fst_nirmag;fst_nirmagband;fst_spt;fst_teff;fst_logg;fst_lum;fst_mass;fst_rad;fst_met;fst_metratio;fst_age
589;HD 203473;b;HD 203473 b;Radial Velocity;0;2018;155.290.000.000;2.730.000;0.289000;247.907.400;780.000;Msini;12.600;1.120;0.116;681.000;;;0;0;1;21h22m18.87s;320.578.644;+05d01m25.0s;5.023.597;72.79;8.230;V (Johnson);6.718;Ks (2MASS);G5;5780.00;;0.250;1.12;1.33;0.190;[Fe/H];5.220
590;HD 2039;b;HD 2039 b;Radial Velocity;0;2002;112.000.000.000;2.200.000;0.710000;199.915.070;629.000;Msini;12.700;1.140;0.117;536.000;;;0;0;1;00h24m20.28s;6.084.491;-56d39m00.2s;-56.650.047;85.90;9.000;V (Johnson);7.549;Ks (2MASS);G2/G3 IV/V;5945.00;4.38;0.194;1.23;1.19;0.300;[Fe/H];3.640
591;HD 204313;b;HD 204313 b;Radial Velocity;0;2010;192.009.998.000;3.070.000;0.230000;109.969.180;346.000;Msini;13.100;1.170;0.120;269.000;;;0;0;1;21h28m12.21s;322.050.873;-21d43m34.5s;-21.726.255;47.86;7.990;V (Johnson);6.459;Ks (2MASS);G5 V;5783.00;4.37;0.100;1.03;1.10;0.160;[Fe/H];3.380
592;HD 204313;c;HD 204313 c;Radial Velocity;0;2015;3.490.500.000;0.209900;0.155000;1.760.000;0.05530;Msini;4.380;0.390;0.040;115.000;;;0;0;1;21h28m12.21s;322.050.873;-21d43m34.5s;-21.726.255;47.86;7.990;V (Johnson);6.459;Ks (2MASS);G5 V;5783.00;4.37;0.100;1.03;1.10;0.160;[Fe/H];3.380
593;HD 204941;b;HD 204941 b;Radial Velocity;0;2011;173.300.000.000;2.550.000;0.370000;7.310.090;0.23000;Msini;10.100;0.903;0.093;0.39000;;;0;0;1;21h32m23.51s;323.097.961;-20d57m26.7s;-20.957.422;28.74;8.450;V (Johnson);6.357;Ks (2MASS);K1/2 V;5026.00;4.42;-0.440;0.58;0.78;-0.190;[Fe/H];6.670
594;HD 205739;b;HD 205739 b;Radial Velocity;0;2008;27.980.000.000;0.896000;0.270000;43.541.000;137.000;Msini;13.600;1.210;0.125;0.95100;;;0;0;1;21h38m08.41s;324.535.034;-31d44m14.9s;-31.737.484;92.74;8.560;V (Johnson);7.299;Ks (2MASS);F7 V;6176.00;4.29;0.360;1.22;1.33;0.190;[Fe/H];2.840
595;HD 206255;b;HD 206255 b;Radial Velocity;0;2019;9.604.500.000;0.461000;0.230000;3.420.000;0.10760;Msini;6.470;0.577;0.059;0.69400;;;0;0;1;21h42m21.89s;325.591.217;-50d05m37.0s;-50.093.609;75.40;7.618;V (Johnson);5.979;Ks (2MASS);G5 IV/V;5635.00;;0.652;1.42;2.22;;;
596;HD 206610;b;HD 206610 b;Radial Velocity;0;2009;67.320.000.000;1.740.000;0.100000;64.710.188;203.600;Msini;13.400;1.190;0.123;148.000;;;0;0;1;21h43m24.90s;325.853.760;-07d24m29.7s;-7.408.253;147.78;8.340;V (Johnson);5.952;Ks (2MASS);K0 III;4842.00;3.22;1.044;1.55;6.12;0.100;[Fe/H];3.000
597;HD 20781;b;HD 20781 b;Radial Velocity;0;2019;531.350.000;0.052900;0.100000;193.000;0.00610;Msini;1.210;0.108;0.011;599.000;;;0;0;2;03h20m02.94s;50.012.260;-28d47m01.8s;-28.783.834;35.37;8.480;V (Johnson);6.553;Ks (2MASS);K0 V;5256.00;4.37;-0.310;0.70;0.83;-0.110;[Fe/H];
598;HD 20781;c;HD 20781 c;Radial Velocity;0;2019;1.389.050.000;0.100400;0.090000;533.000;0.01680;Msini;2.170;0.193;0.020;287.000;;;0;0;2;03h20m02.94s;50.012.260;-28d47m01.8s;-28.783.834;35.37;8.480;V (Johnson);6.553;Ks (2MASS);K0 V;5256.00;4.37;-0.310;0.70;0.83;-0.110;[Fe/H];
